Card Title,Card Href,Extension ID,Page Title,Updated Date,Version,Offered By,Number of Users,Rating,Total Ratings
NameInserter,https://chromewebstore.google.com/detail/nameinserter/jhcjpmnikljjacpclfgcdbcemhfojkeb,jhcjpmnikljjacpclfgcdbcemhfojkeb,NameInserter,"October 21, 2023",1.1,N/A,25,5.0,2 ratings
Birdeye,https://chromewebstore.google.com/detail/birdeye/glbdijnpmjgjgdgbmcnkohahinhkjmgd,glbdijnpmjgjgdgbmcnkohahinhkjmgd,Birdeye,"November 26, 2025",1.0.0.5,https://birdeye.com/,852,5.0,2 ratings
Beautiful Hieroglyphs,https://chromewebstore.google.com/detail/beautiful-hieroglyphs/ejdjggchjcccilcghndkdcnllinanmch,ejdjggchjcccilcghndkdcnllinanmch,Beautiful Hieroglyphs,"February 12, 2024",0.4.1,N/A,50,5.0,2 ratings
Scholarometer,https://chromewebstore.google.com/detail/scholarometer/cancljbppfaghiangdombkgjhbfcoomf,cancljbppfaghiangdombkgjhbfcoomf,Scholarometer,"March 6, 2024",5.4.0,https://scholarometer.indiana.edu/,"1,000",5.0,2 ratings
HubSpot Templates for Gmail™ by cloudHQ,https://chromewebstore.google.com/detail/hubspot-templates-for-gma/bpamdngaencblehpekanhchfaejgimln,bpamdngaencblehpekanhchfaejgimln,HubSpot Templates for Gmail™ by cloudHQ,"November 29, 2025",1.0.2.10,cloudHQ LLC,"2,000",5.0,2 ratings
Automatic Tawk Translator,https://chromewebstore.google.com/detail/automatic-tawk-translator/peimgiigfiplofofdendgchegipbpeok,peimgiigfiplofofdendgchegipbpeok,Automatic Tawk Translator,"January 4, 2026",2.1.13,N/A,451,5.0,1 rating
Slack™ Translate,https://chromewebstore.google.com/detail/slack-translate/ogeieigjomecilgfebkdbgdckfpbjfah,ogeieigjomecilgfebkdbgdckfpbjfah,Slack™ Translate,"November 16, 2024",1.3.5,N/A,402,5.0,1 rating
Table of Contents Generator for Medium,https://chromewebstore.google.com/detail/table-of-contents-generat/kjnpkcndbjmheeenngfemcmcjfeahefa,kjnpkcndbjmheeenngfemcmcjfeahefa,Table of Contents Generator for Medium,"September 2, 2023",1.0,N/A,60,5.0,1 rating
Sangoma Meet,https://chromewebstore.google.com/detail/sangoma-meet/kcceflnmljlefienlljlndciijmpcpnf,kcceflnmljlefienlljlndciijmpcpnf,Sangoma Meet,"February 26, 2025",5.8.1,N/A,676,5.0,1 rating
Email Whisperer - GPT AI Email Writer,https://chromewebstore.google.com/detail/email-whisperer-gpt-ai-em/iilfbdcjfcbfelllghamdbpoombfapfj,iilfbdcjfcbfelllghamdbpoombfapfj,Email Whisperer - GPT AI Email Writer,"February 22, 2024",1.5,N/A,61,5.0,1 rating
Apollolytics,https://chromewebstore.google.com/detail/apollolytics/ifikempnpjnocibkfhmfjbifmmipjalp,ifikempnpjnocibkfhmfjbifmmipjalp,Apollolytics,"June 24, 2025",2.1,apollolytics.com,57,5.0,1 rating
Community Polls,https://chromewebstore.google.com/detail/community-polls/hgcaippnfonibmjipfedgfpddiilcoeh,hgcaippnfonibmjipfedgfpddiilcoeh,Community Polls,"November 2, 2023",1.1.0,N/A,55,5.0,1 rating
PlusThat,https://chromewebstore.google.com/detail/plusthat/fdolcalgjiodophceognejkdeokllmfh,fdolcalgjiodophceognejkdeokllmfh,PlusThat,"March 6, 2025",0.20,ABLE STYLE LTD,8,5.0,1 rating
Embed2Share,https://chromewebstore.google.com/detail/embed2share/bahilgongphmlcfcbbefjjkiejbegili,bahilgongphmlcfcbbefjjkiejbegili,Embed2Share,"November 6, 2023",1.1.1,N/A,9,5.0,1 rating
Walution - WhatsApp Sender,https://chromewebstore.google.com/detail/walution-whatsapp-sender/gnkoofidpbkdoejdloidmbdefjpgpjdi,gnkoofidpbkdoejdloidmbdefjpgpjdi,Walution - WhatsApp Sender,"October 9, 2025",1.7.4,quicklution.com,"4,000",5.0,573 ratings
Professionally AI Email Writer,https://chromewebstore.google.com/detail/professionally-ai-email-w/mkbiijndlaclmmaniflgfcogjhdgdjkc,mkbiijndlaclmmaniflgfcogjhdgdjkc,Professionally AI Email Writer,"September 19, 2025",5.5.0,Professionally Inc.,"1,000",5.0,829 ratings
Fathom AI Note Taker for Google Meet,https://chromewebstore.google.com/detail/fathom-ai-note-taker-for/nhocmlminaplaendbabmoemehbpgdemn,nhocmlminaplaendbabmoemehbpgdemn,Fathom AI Note Taker for Google Meet,"January 7, 2026",0.0.37,fathom.video,"300,000",5.0,1.4K ratings
Synonyms Deluxe,https://chromewebstore.google.com/detail/synonyms-deluxe/kfeajncmldifdopobhjlgbhilblhbekd,kfeajncmldifdopobhjlgbhilblhbekd,Synonyms Deluxe,"January 3, 2025",1.10,jurgen.si,"4,000",5.0,127 ratings
WA Filter & Number Checker: Check & Verify WhatsApp Numbers,https://chromewebstore.google.com/detail/wa-filter-number-checker/ceiabhjcgkahlflefonigpjiicdfaadn,ceiabhjcgkahlflefonigpjiicdfaadn,WA Filter & Number Checker: Check & Verify WhatsApp Numbers,"January 6, 2026",3.0.20,wa-filter.com,"4,000",4.9,799 ratings
Auto Follow Up for Gmail™ by cloudHQ,https://chromewebstore.google.com/detail/auto-follow-up-for-gmail/omlanehmflpiihaadkghlgnbocimgokm,omlanehmflpiihaadkghlgnbocimgokm,Auto Follow Up for Gmail™ by cloudHQ,"November 29, 2025",1.0.2.29,cloudHQ LLC,"9,000",4.9,34 ratings
Claap - Meeting & Screen Recording,https://chromewebstore.google.com/detail/claap-meeting-screen-reco/bnflmljpbmkjeahgjakmjdanmhldjhbk,bnflmljpbmkjeahgjakmjdanmhldjhbk,Claap - Meeting & Screen Recording,"March 26, 2025",0.1133.0,https://www.claap.io/,"10,000",4.9,33 ratings
Record Voice Messages in Gmail - Beep,https://chromewebstore.google.com/detail/record-voice-messages-in/kcgmbngghfpnddnfccnabnioiidenipc,kcgmbngghfpnddnfccnabnioiidenipc,Record Voice Messages in Gmail - Beep,"December 21, 2025",1.45,"JoWoCo, LLC","4,000",4.9,94 ratings
Whatsapp™ Translator - Immersive Translation,https://chromewebstore.google.com/detail/whatsapp-translator-immer/phafeggjhdhfcmlanhmgbmcbgocapnik,phafeggjhdhfcmlanhmgbmcbgocapnik,Whatsapp™ Translator - Immersive Translation,"December 19, 2025",1.7.4,N/A,"6,000",4.9,41 ratings
Vocal: Send voice notes in Gmail,https://chromewebstore.google.com/detail/vocal-send-voice-notes-in/boopggfapjaffppjmldgifjkgemgkgfd,boopggfapjaffppjmldgifjkgemgkgfd,Vocal: Send voice notes in Gmail,"November 29, 2025",12.4.13,vocal.email,"8,000",4.9,46 ratings
Copy and Paste Emoji,https://chromewebstore.google.com/detail/copy-and-paste-emoji/mblpmmkfjhnoamacmefeoadhdmdilpdl,mblpmmkfjhnoamacmefeoadhdmdilpdl,Copy and Paste Emoji,"July 8, 2025",1.0.4,netvolk.online,"2,000",4.9,9 ratings
ShortifyMe | Short Links and QR Codes,https://chromewebstore.google.com/detail/shortifyme-short-links-an/kkelcfjdofkckenhaofjjoeijghmedkj,kkelcfjdofkckenhaofjjoeijghmedkj,ShortifyMe | Short Links and QR Codes,"January 8, 2026",2.0,The frank Agency,284,4.9,9 ratings
Cursorful - Screen Recorder with Auto Zoom,https://chromewebstore.google.com/detail/cursorful-screen-recorder/eihpmapodnppeemkhkbhikmggfojdkjd,eihpmapodnppeemkhkbhikmggfojdkjd,Cursorful - Screen Recorder with Auto Zoom,"December 25, 2025",2.1.2,cursorful.com,"40,000",4.9,856 ratings
SendSafely Encryption for Chrome and Gmail,https://chromewebstore.google.com/detail/sendsafely-encryption-for/glpichgelkekjnccdflklcclhnoioblm,glpichgelkekjnccdflklcclhnoioblm,SendSafely Encryption for Chrome and Gmail,"November 21, 2025",1.10.9.1,SendSafely Inc.,"40,000",4.9,15 ratings
"Screen Recorder, Webcam Recorder - Dubb Video",https://chromewebstore.google.com/detail/screen-recorder-webcam-re/comhknhgkhbecfolehchaemllofaeppb,comhknhgkhbecfolehchaemllofaeppb,"Screen Recorder, Webcam Recorder - Dubb Video","December 22, 2025",6.6.5,https://dubb.com/,"20,000",4.8,175 ratings
CrankWheel Screen Sharing,https://chromewebstore.google.com/detail/crankwheel-screen-sharing/dooinopjfnhlmmdkdepajfipfhlcmjgp,dooinopjfnhlmmdkdepajfipfhlcmjgp,CrankWheel Screen Sharing,"November 16, 2025",8.8.1.0,CrankWheel Inc.,"50,000",4.8,380 ratings
AI Chrome Extension powered by ChatGPT - Magictool AI,https://chromewebstore.google.com/detail/ai-chrome-extension-power/fedmdabgnkfghjplejeilojikdaopkpm,fedmdabgnkfghjplejeilojikdaopkpm,AI Chrome Extension powered by ChatGPT - Magictool AI,"June 8, 2024",1.5.1,magictool.ai,"10,000",4.8,190 ratings
Clamor - Comment Anywhere,https://chromewebstore.google.com/detail/clamor-comment-anywhere/adobgmkomchnognfpmcpcdjanecjppjn,adobgmkomchnognfpmcpcdjanecjppjn,Clamor - Comment Anywhere,"July 7, 2025",0.0.0.8,N/A,132,4.8,6 ratings
MailMaestro - Gmail AI assistant,https://chromewebstore.google.com/detail/mailmaestro-gmail-ai-assi/hjdkljkgenkplcgeecgjjgijpipnneai,hjdkljkgenkplcgeecgjjgijpipnneai,MailMaestro - Gmail AI assistant,"December 31, 2025",1.34.2,Maestro Labs Pte. Ltd.,"10,000",4.8,122 ratings
"GoEmailTracker-Email Tracker,Template,chatGPT",https://chromewebstore.google.com/detail/goemailtracker-email-trac/heikpoccepmhiapcmifpcbccjbnnihjn,heikpoccepmhiapcmifpcbccjbnnihjn,"GoEmailTracker-Email Tracker,Template,chatGPT","November 29, 2025",0.0.64,goemailtracker.com,"1,000",4.8,44 ratings
Email Tracker,https://chromewebstore.google.com/detail/email-tracker/mmkkkedfpenlibbhepgncmmoclhbaafo,mmkkkedfpenlibbhepgncmmoclhbaafo,Email Tracker,"November 23, 2025",2025.11.20,emailtracker.cc,"5,000",4.8,572 ratings
Ventrilo.ai: Instant AI Writing,https://chromewebstore.google.com/detail/ventriloai-instant-ai-wri/agfcdegbapplhinejbaadfhmohblaldj,agfcdegbapplhinejbaadfhmohblaldj,Ventrilo.ai: Instant AI Writing,"November 4, 2025",3.0.5,Ventrilo.ai,"6,000",4.8,16 ratings
Snowball.club - All-in-one X (Twitter) Growth Platform with AI and more,https://chromewebstore.google.com/detail/snowballclub-all-in-one-x/oflolfahklajghjkoidbgejfppemoglg,oflolfahklajghjkoidbgejfppemoglg,Snowball.club - All-in-one X (Twitter) Growth Platform with AI and more,"December 14, 2025",2.12.10,snowball.club,267,4.8,5 ratings
OpenComments,https://chromewebstore.google.com/detail/opencomments/ilgkjamobnhjoopmjiigbgilcmapodda,ilgkjamobnhjoopmjiigbgilcmapodda,OpenComments,"March 20, 2025",3.0.36,opencomments.com,168,4.8,5 ratings
Templify – write messages in 1 click! 🚀,https://chromewebstore.google.com/detail/templify-%E2%80%93-write-messages/fndgllkjbjkfnkjfcpnajbmgaedokmdo,fndgllkjbjkfnkjfcpnajbmgaedokmdo,Templify – write messages in 1 click! 🚀,"January 6, 2026",0.4.1,templify.l4b5.com,"2,000",4.8,29 ratings
"AI Note taker for Google Meet, by Noty.ai",https://chromewebstore.google.com/detail/ai-note-taker-for-google/kdkohcmkkplmkknlelglhfhjkegkiljd,kdkohcmkkplmkknlelglhfhjkegkiljd,"AI Note taker for Google Meet, by Noty.ai","December 8, 2025",1.58.20,noty.ai,"10,000",4.8,142 ratings
Contact Saver For WA & Download Group Phone Numbers | WPPME.COM,https://chromewebstore.google.com/detail/contact-saver-for-wa-down/lfopjgadjgdlkjldhekplmeggobolnej,lfopjgadjgdlkjldhekplmeggobolnej,Contact Saver For WA & Download Group Phone Numbers | WPPME.COM,"January 9, 2026",2.8.17,wppme.com,"4,000",4.8,506 ratings
"FlyMSG: AI Writing, Grammar Checker, Snippets, and Sales Engagement Tool",https://chromewebstore.google.com/detail/flymsg-ai-writing-grammar/giidlnpcdhcldhfccdhkaicefhpokghc,giidlnpcdhcldhfccdhkaicefhpokghc,"FlyMSG: AI Writing, Grammar Checker, Snippets, and Sales Engagement Tool","November 12, 2025",3.7.4,https://www.vengreso.com/,"5,000",4.8,103 ratings
GMass: Powerful mail merge for Gmail,https://chromewebstore.google.com/detail/gmass-powerful-mail-merge/ehomdgjhgmbidokdgicgmdiedadncbgf,ehomdgjhgmbidokdgicgmdiedadncbgf,GMass: Powerful mail merge for Gmail,"December 14, 2025",6.0.42,http://www.gmass.co/,"300,000",4.8,8.9K ratings
Writetone: AI Writing Assistant & Grammar Fix,https://chromewebstore.google.com/detail/writetone-ai-writing-assi/okhpejcaiodgfaelnakehbldidfajbcb,okhpejcaiodgfaelnakehbldidfajbcb,Writetone: AI Writing Assistant & Grammar Fix,"November 12, 2025",2.0,writetone.com,"1,000",4.8,18 ratings
Share and attach files in Gmail™ by cloudHQ,https://chromewebstore.google.com/detail/share-and-attach-files-in/dgdeilfnkkmcolnfmghjgjmlalanomdf,dgdeilfnkkmcolnfmghjgjmlalanomdf,Share and attach files in Gmail™ by cloudHQ,"November 28, 2025",1.0.2.2,cloudHQ LLC,"6,000",4.8,70 ratings
Noise Cancelling App,https://chromewebstore.google.com/detail/noise-cancelling-app/njmhcidcdbaannpafjdljminaigdgolj,njmhcidcdbaannpafjdljminaigdgolj,Noise Cancelling App,"October 17, 2025",1.2.1,webcameffects.app,"10,000",4.8,47 ratings
Bubbles - AI Meeting Notes & Screen Recorder,https://chromewebstore.google.com/detail/bubbles-ai-meeting-notes/ppbfhhgcdehhbjigifndnfmcihegokbb,ppbfhhgcdehhbjigifndnfmcihegokbb,Bubbles - AI Meeting Notes & Screen Recorder,"August 16, 2025",2.101.3.0,usebubbles.com,"30,000",4.8,121 ratings
Response Generator,https://chromewebstore.google.com/detail/response-generator/dmnffcicegjjhjaekeloefipmjlokill,dmnffcicegjjhjaekeloefipmjlokill,Response Generator,"December 29, 2025",2.1.2,responsegenerator.app,"4,000",4.8,32 ratings
Clear Mail for Gmail: Privacy first email cleaning,https://chromewebstore.google.com/detail/clear-mail-for-gmail-priv/mjdjakmpongidgdifgmaenfgmacppknm,mjdjakmpongidgdifgmaenfgmacppknm,Clear Mail for Gmail: Privacy first email cleaning,"January 10, 2026",2.4.1,clearmailapp.com,683,4.8,4 ratings
Super Post Saver – Smart Bookmark Tool for LinkedIn™ Posts,https://chromewebstore.google.com/detail/super-post-saver-%E2%80%93-smart/dcmjbhijkglccpmikedhjnjgaicbkpeo,dcmjbhijkglccpmikedhjnjgaicbkpeo,Super Post Saver – Smart Bookmark Tool for LinkedIn™ Posts,"December 1, 2025",0.4,N/A,207,4.9,10 ratings
